Date,SHELL,BP,TTE,CNA,NG
2021-01-05,1289.9912109375,20.388591766357422,38.43831253051758,33.58092498779297,10.170000076293945
2021-01-06,1366.0040283203125,21.326940536499023,40.25944900512695,35.4333610534668,10.350000381469727
2021-01-07,1366.74560546875,21.782451629638672,40.83407974243164,35.354347229003906,10.239999771118164
2021-01-08,1360.998291015625,22.228851318359375,40.57770919799805,34.87147903442383,9.760000228881836
2021-01-11,1355.621826171875,22.21062660217285,39.967716217041016,34.60810089111328,9.670000076293945
2021-01-12,1381.9481201171875,22.78457260131836,39.95003128051758,34.98561096191406,9.760000228881836
2021-01-13,1369.7117919921875,22.575037002563477,40.30364990234375,34.941715240478516,9.600000381469727
2021-01-14,1393.9990234375,23.203638076782227,40.61306381225586,35.23143005371094,9.600000381469727
2021-01-15,1374.717529296875,22.101306915283203,39.10135269165039,35.45092010498047,8.899999618530273
2021-01-18,1362.296142578125,,,,
2021-01-19,1363.964599609375,22.45660400390625,39.764381408691406,35.90744400024414,8.859999656677246
2021-01-20,1369.1556396484375,22.602365493774414,40.01191329956055,36.241058349609375,9.220000267028809
2021-01-21,1331.890869140625,21.88266372680664,39.065982818603516,35.55626678466797,9.0
2021-01-22,1316.3173828125,21.74601173400879,39.2869987487793,35.09096908569336,9.100000381469727
2021-01-25,1280.165283203125,21.017194747924805,38.38526916503906,35.06462478637695,8.970000267028809
2021-01-26,1291.659912109375,20.980756759643555,38.50904083251953,34.40616989135742,8.970000267028809
2021-01-27,1294.626220703125,20.70744514465332,37.978614807128906,33.756507873535156,8.630000114440918
2021-01-28,1267.0020751953125,20.825881958007812,38.45600128173828,34.537864685058594,9.470000267028809
2021-01-29,1240.3050537109375,20.242828369140625,37.200653076171875,33.730167388916016,9.119999885559082
2021-02-01,1220.281982421875,20.23371696472168,37.21833801269531,34.125240325927734,9.579999923706055
2021-02-02,1220.65283203125,18.90363121032715,37.15644073486328,34.60810089111328,9.430000305175781
2021-02-03,1238.450927734375,19.377363204956055,37.527748107910156,34.59931945800781,9.199999809265137
2021-02-04,1213.6077880859375,19.122278213500977,37.21833801269531,35.547489166259766,9.170000076293945
2021-02-05,1247.535400390625,18.958290100097656,37.41282653808594,35.78452682495117,9.170000076293945
2021-02-08,1265.8895263671875,20.06973648071289,38.4648323059082,37.47894287109375,9.6899995803833
2021-02-09,1261.810791015625,19.796430587768555,37.29789352416992,37.865230560302734,9.619999885559082
2021-02-10,1263.664794921875,19.65977668762207,37.43050003051758,37.35602951049805,9.479999542236328
2021-02-11,1234.742919921875,19.46846580505371,37.253692626953125,38.471004486083984,9.170000076293945
2021-02-12,1259.030029296875,19.960411071777344,37.81064224243164,37.944244384765625,9.369999885559082
2021-02-15,1331.1494140625,,,,
2021-02-16,1325.402099609375,21.11740493774414,39.03062057495117,38.45344543457031,9.020000457763672
2021-02-17,1333.5595703125,21.481815338134766,39.82626724243164,39.20846176147461,9.100000381469727
2021-02-18,1299.87109375,20.73851203918457,38.94221878051758,38.57635498046875,9.0
2021-02-19,1306.0404052734375,21.11709213256836,39.75554275512695,39.35131072998047,9.010000228881836
2021-02-22,1337.0740966796875,21.818836212158203,40.26829147338867,39.80186080932617,9.319999694824219
2021-02-23,1340.25244140625,22.372848510742188,41.67392349243164,39.828895568847656,9.020000457763672
2021-02-24,1384.93359375,23.360837936401367,42.133628845214844,40.19834518432617,9.15999984741211
